Rank,Country,One-way Ticket
72,China,0.41
12,United States,2.5
39,South Korea,1.07
28,Japan,1.47
74,India,0.35
78,Russia,0.35
25,Spain,1.57
9,United Kingdom,2.78
7,Germany,3.15
20,France,1.89
50,Brazil,0.83
60,Turkey,0.58
63,Mexico,0.54
52,Taiwan,0.77
89,Iran,0.24
13,Canada,2.49
21,Italy,1.68
27,Singapore,1.48
57,Malaysia,0.67
3,Netherlands,3.57
51,Chile,0.77
48,Thailand,0.87
79,Ukraine,0.33
5,Sweden,3.27
30,United Arab Emirates,1.36
92,Egypt,0.22
32,Greece,1.26
2,Norway,3.78
11,Austria,2.62
59,Romania,0.63
62,Qatar,0.55
68,Venezuela,0.5
35,Czech Republic,1.16
97,Uzbekistan,0.16
67,Argentina,0.5
49,Bulgaria,0.86
15,Portugal,2.1
86,Philippines,0.26
85,Belarus,0.26
10,Belgium,2.62
36,Hungary,1.14
4,Denmark,3.38
83,Azerbaijan,0.29
66,Panama,0.5
8,Australia,3.05
37,Poland,1.08
6,Finland,3.15
64,Peru,0.53
,North Korea,0.00556
58,Colombia,0.66
,Dominican Republic,0.249
75,Georgia,0.35
96,Pakistan,0.18
94,Algeria,0.21
82,Indonesia,0.31
88,Armenia,0.25
81,Vietnam,0.31
93,Kazakhstan,0.21
1,Switzerland,3.94